Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
73,67,2017-03-24,28-045,BOS,,PHO,W (+10),1,32:43,.684,.575,2.9,3.1,3.0,35.0,0.0,0.0,7.5,31.7,140,117,27.1,8.2
74,68,2017-03-26,28-047,BOS,,MIA,W (+4),1,34:49,.683,.611,0.0,6.4,3.7,15.2,0.0,0.0,21.5,37.1,107,121,16.9,-4.3
75,69,2017-03-29,28-050,BOS,,MIL,L (-3),1,36:34,.763,.676,3.1,15.4,8.5,22.6,4.3,0.0,16.0,28.7,137,108,26.6,16.4
76,70,2017-03-31,28-052,BOS,,ORL,W (+1),1,36:29,.609,.522,3.1,5.2,4.2,37.1,1.3,1.9,9.5,38.0,118,116,26.6,7.0
77,71,2017-04-02,28-054,BOS,@,NYK,W (+16),1,23:53,.771,.727,0.0,9.1,5.5,43.2,2.1,0.0,7.5,26.7,154,102,18.5,16.4
78,72,2017-04-05,28-057,BOS,,CLE,L (-23),1,32:43,.577,.500,0.0,13.6,6.6,44.5,0.0,2.6,15.1,36.8,105,124,17.6,5.2
79,73,2017-04-06,28-058,BOS,@,ATL,L (-7),1,34:59,.655,.571,8.4,6.7,7.6,23.6,0.0,2.1,10.1,34.9,125,124,25.5,7.6
80,74,2017-04-08,28-060,BOS,@,CHO,W (+7),1,34:25,.743,.694,0.0,6.2,3.3,26.9,1.4,0.0,21.8,37.1,114,119,22.0,3.0
81,75,2017-04-10,28-062,BOS,,BRK,W (+9),1,29:47,.582,.524,3.3,9.5,6.4,19.4,1.6,0.0,14.7,38.7,101,105,15.4,-1.5
82,76,2017-04-12,28-064,BOS,,MIL,W (+18),1,22:41,.477,.364,9.4,9.6,9.5,48.9,2.2,3.5,6.8,28.1,121,97,14.4,9.8
